Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Exit Time,Exit Price,Swap,Profit
2024-12-02 07:31:16,741535186.0,XAUUSD,buy,0.03,2 623.510,,2 626.020,2024.12.02 07:36:27,2 625.950,0.00, 7.32
2024-12-02 07:31:16,741535188.0,XAUUSD,buy,0.06,2 623.590,,2 626.020,2024.12.02 07:36:27,2 625.950,0.00, 14.16
2024-12-02 07:31:16,741535189.0,XAUUSD,buy,0.12,2 623.590,,2 626.020,2024.12.02 07:36:27,2 625.950,0.00, 28.32
2024-12-02 07:31:16,741535190.0,XAUUSD,buy,0.24,2 623.550,,2 626.020,2024.12.02 07:36:26,2 625.960,0.00, 57.84
2024-12-02 07:31:16,741535192.0,XAUUSD,sell,0.03,2 623.350,,2 626.030,2024.12.02 07:55:46,2 626.100,0.00,- 8.25
2024-12-02 07:31:16,741535195.0,XAUUSD,sell,0.06,2 623.350,,2 626.030,2024.12.02 07:55:46,2 626.100,0.00,- 16.50
2024-12-02 07:36:28,741540377.0,XAUUSD,buy,0.03,2 626.210,,2 626.700,2024.12.02 07:41:31,2 626.770,0.00, 1.68
2024-12-02 07:36:33,741540468.0,XAUUSD,sell,0.12,2 626.020,,2 626.030,2024.12.02 07:55:46,2 626.100,0.00,- 0.96
2024-12-02 07:41:32,741544191.0,XAUUSD,buy,0.03,2 627.190,,2 627.680,2024.12.02 07:43:25,2 627.680,0.00, 1.47
2024-12-02 07:43:26,741546342.0,XAUUSD,buy,0.03,2 627.810,,2 628.390,2024.12.02 07:47:06,2 628.380,0.00, 1.71
2024-12-02 07:47:03,741549991.0,XAUUSD,sell,0.24,2 628.130,,2 626.030,2024.12.02 07:55:46,2 626.100,0.00, 48.72
2024-12-02 07:47:07,741550360.0,XAUUSD,buy,0.03,2 628.640,,2 624.540,2024.12.02 08:15:37,2 624.430,0.00,- 12.63
2024-12-02 07:55:27,741556051.0,XAUUSD,buy,0.06,2 626.620,,2 624.540,2024.12.02 08:15:37,2 624.430,0.00,- 13.14
2024-12-02 07:55:48,741556897.0,XAUUSD,sell,0.03,2 625.870,,2 625.320,2024.12.02 07:57:57,2 625.310,0.00, 1.68
2024-12-02 07:57:59,741559976.0,XAUUSD,sell,0.03,2 625.080,,2 624.570,2024.12.02 07:58:42,2 624.560,0.00, 1.56
2024-12-02 07:58:43,741561341.0,XAUUSD,sell,0.03,2 624.290,,2 623.830,2024.12.02 07:59:25,2 623.950,0.00, 1.02
2024-12-02 07:58:44,741561349.0,XAUUSD,buy,0.12,2 624.510,,2 624.540,2024.12.02 08:15:37,2 624.430,0.00,- 0.96
2024-12-02 07:59:26,741562686.0,XAUUSD,sell,0.03,2 623.680,,2 623.170,2024.12.02 08:00:07,2 623.200,0.00, 1.44
2024-12-02 08:00:07,741565384.0,XAUUSD,sell,0.03,2 622.940,,2 622.410,2024.12.02 08:05:40,2 622.420,0.00, 1.56
2024-12-02 08:05:40,741570288.0,XAUUSD,buy,0.24,2 622.420,,2 624.540,2024.12.02 08:15:37,2 624.430,0.00, 48.24
2024-12-02 08:05:40,741570300.0,XAUUSD,sell,0.03,2 622.190,,2 623.020,2024.12.02 08:12:44,2 622.990,0.00,- 2.40
2024-12-02 08:10:51,741576131.0,XAUUSD,sell,0.06,2 624.220,,2 623.020,2024.12.02 08:12:44,2 622.990,0.00, 7.38
2024-12-02 08:12:46,741577488.0,XAUUSD,sell,0.03,2 622.630,,2 623.450,2024.12.02 08:16:19,2 623.580,0.00,- 2.85
2024-12-02 08:15:37,741579843.0,XAUUSD,buy,0.03,2 624.690,,2 625.150,2024.12.02 08:28:45,2 625.200,0.00, 1.53
2024-12-02 08:15:41,741580118.0,XAUUSD,sell,0.06,2 624.700,,2 623.450,2024.12.02 08:16:19,2 623.570,0.00, 6.78
2024-12-02 08:16:20,741580649.0,XAUUSD,sell,0.03,2 623.350,,2 622.860,2024.12.02 08:16:54,2 622.860,0.00, 1.47
2024-12-02 08:16:55,741580988.0,XAUUSD,sell,0.03,2 622.630,,2 623.490,2024.12.02 08:32:10,2 623.790,0.00,- 3.48
2024-12-02 08:28:23,741587691.0,XAUUSD,sell,0.06,2 624.700,,2 623.490,2024.12.02 08:32:10,2 623.770,0.00, 5.58
2024-12-02 08:28:47,741588471.0,XAUUSD,buy,0.03,2 625.310,,2 624.480,2024.12.02 08:38:30,2 624.530,0.00,- 2.34
2024-12-02 08:32:11,741590805.0,XAUUSD,sell,0.03,2 623.760,,2 623.020,2024.12.02 08:36:18,2 623.090,0.00, 2.01
2024-12-02 08:33:35,741591379.0,XAUUSD,buy,0.06,2 623.270,,2 624.480,2024.12.02 08:38:30,2 624.530,0.00, 7.56
2024-12-02 08:36:19,741592734.0,XAUUSD,sell,0.03,2 622.800,,2 625.400,2024.12.02 09:01:22,2 625.500,0.00,- 8.10
2024-12-02 08:38:31,741594596.0,XAUUSD,buy,0.03,2 624.870,,2 625.240,2024.12.02 08:38:41,2 625.120,0.00, 0.75
2024-12-02 08:38:37,741595172.0,XAUUSD,sell,0.06,2 625.130,,2 625.400,2024.12.02 09:01:22,2 625.500,0.00,- 2.22
2024-12-02 08:38:42,741595382.0,XAUUSD,buy,0.03,2 625.380,,2 625.960,2024.12.02 08:39:42,2 625.800,0.00, 1.26
2024-12-02 08:39:42,741597677.0,XAUUSD,buy,0.03,2 626.000,,2 626.610,2024.12.02 08:52:57,2 626.680,0.00, 2.04
2024-12-02 08:52:58,741609229.0,XAUUSD,buy,0.03,2 626.900,,2 627.250,2024.12.02 08:53:16,2 627.370,0.00, 1.41
2024-12-02 08:53:18,741610507.0,XAUUSD,buy,0.03,2 627.530,,2 626.750,2024.12.02 09:02:44,2 626.600,0.00,- 2.79
2024-12-02 08:53:18,741610510.0,XAUUSD,sell,0.12,2 627.310,,2 625.400,2024.12.02 09:01:22,2 625.500,0.00, 21.72
2024-12-02 09:01:22,741619712.0,XAUUSD,buy,0.06,2 625.480,,2 626.750,2024.12.02 09:02:44,2 626.600,0.00, 6.72
2024-12-02 09:01:24,741619783.0,XAUUSD,sell,0.03,2 625.310,,2 629.510,2024.12.02 09:52:51,2 629.570,0.00,- 12.78
