Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Exit Time,Exit Price,Swap,Profit
2024-11-01 00:05:23,711091169.0,XAUUSD,sell,0.06,2 745.370,,2 745.720,2024.11.01 00:26:53,2 745.660,0.00,- 1.74
2024-11-01 00:06:00,711091596.0,XAUUSD,buy,0.03,2 746.240,,2 746.760,2024.11.01 00:06:26,2 746.900,0.00, 1.98
2024-11-01 00:06:28,711092332.0,XAUUSD,buy,0.03,2 747.250,,2 746.430,2024.11.01 00:30:37,2 746.400,0.00,- 2.55
2024-11-01 00:06:36,711092691.0,XAUUSD,sell,0.12,2 747.400,,2 745.720,2024.11.01 00:26:53,2 745.660,0.00, 20.88
2024-11-01 00:26:55,711096396.0,XAUUSD,sell,0.03,2 745.460,,2 746.270,2024.11.01 01:57:05,2 746.240,0.00,- 2.34
2024-11-01 00:27:24,711096680.0,XAUUSD,buy,0.06,2 745.250,,2 746.430,2024.11.01 00:30:37,2 746.400,0.00, 6.90
2024-11-01 00:30:37,711097533.0,XAUUSD,buy,0.03,2 746.590,,2 747.110,2024.11.01 01:30:00,2 747.050,0.00, 1.38
2024-11-01 01:30:01,711107803.0,XAUUSD,buy,0.03,2 747.260,,2 747.770,2024.11.01 01:32:34,2 747.590,0.00, 0.99
2024-11-01 01:31:47,711108603.0,XAUUSD,sell,0.06,2 747.430,,2 746.270,2024.11.01 01:57:05,2 746.240,0.00, 7.14
2024-11-01 01:32:35,711108894.0,XAUUSD,buy,0.03,2 747.750,,2 746.990,2024.11.01 02:49:32,2 746.890,0.00,- 2.58
2024-11-01 01:57:07,711113758.0,XAUUSD,sell,0.03,2 746.010,,2 745.470,2024.11.01 02:40:41,2 745.570,0.00, 1.32
2024-11-01 02:35:02,711125094.0,XAUUSD,buy,0.06,2 745.800,,2 746.990,2024.11.01 02:49:32,2 746.900,0.00, 6.60
2024-11-01 02:40:42,711126068.0,XAUUSD,sell,0.03,2 745.380,,2 746.220,2024.11.01 03:16:41,2 746.550,0.00,- 3.51
2024-11-01 02:49:33,711128397.0,XAUUSD,buy,0.03,2 747.080,,2 746.310,2024.11.01 03:01:39,2 746.210,0.00,- 2.61
2024-11-01 02:57:15,711131804.0,XAUUSD,buy,0.06,2 745.150,,2 746.310,2024.11.01 03:01:39,2 746.210,0.00, 6.36
2024-11-01 03:01:39,711135223.0,XAUUSD,buy,0.03,2 746.400,,2 746.970,2024.11.01 03:07:00,2 746.990,0.00, 1.77
2024-11-01 03:07:02,711138208.0,XAUUSD,buy,0.03,2 747.210,,2 747.660,2024.11.01 03:11:03,2 747.630,0.00, 1.26
